"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-12-02 18:58:53";290488786;42.32398;39.209;-10953;0;11
Облако-облако;"2022-12-02 18:58:53";307512403;42.38749;39.35549;-6918;10322;18
Облако-облако;"2022-12-02 19:03:11";508428933;42.19777;39.2358;-30327;9900;15
Облако-земля;"2022-12-02 19:03:11";509895998;42.32221;39.22255;-54192;0;18
Облако-земля;"2022-12-02 21:21:06";2214324;42.04745;41.51128;11610;0;9
Облако-земля;"2022-12-02 21:22:05";842728540;41.83284;41.38893;-7495;0;10
Облако-облако;"2022-12-02 21:22:05";795436370;41.74705;41.71691;-20075;11968;18
Облако-земля;"2022-12-02 21:26:17";375456287;41.93644;41.48792;-27154;0;11
Облако-земля;"2022-12-02 21:28:01";803352265;41.94321;41.4859;-13273;0;12
Облако-земля;"2022-12-02 21:31:12";986632042;41.84167;41.34371;-15290;0;7
Облако-облако;"2022-12-02 21:31:13";105880154;41.9481899;41.4775;7231;7011;10
Облако-земля;"2022-12-02 21:32:07";852739795;41.8391499;41.39578;-27483;0;10
Облако-земля;"2022-12-02 21:34:18";422835409;41.82883;41.42748;-58876;0;19
Облако-облако;"2022-12-02 21:36:02";295618349;41.90322;41.5382;-16629;9189;16
Облако-земля;"2022-12-02 21:36:02";299581890;41.83945;41.40804;-49851;0;20
Облако-земля;"2022-12-02 21:37:00";495439810;41.84289;41.39681;-35031;0;11
Облако-облако;"2022-12-02 21:37:49";640217003;42.0795;41.56736;4126;5986;7
Облако-земля;"2022-12-02 21:37:49";673463450;41.98701;41.56841;-12826;0;10
Облако-земля;"2022-12-02 21:37:52";228824163;41.8475899;41.3994;-17800;0;10
Облако-земля;"2022-12-02 21:38:32";30729125;41.84588;41.39981;-29957;0;11
Облако-земля;"2022-12-02 21:39:14";473460831;41.8469399;41.4359899;-18238;0;10
Облако-земля;"2022-12-02 21:40:09";655292419;41.83799;41.41386;-26500;0;15
Облако-земля;"2022-12-02 21:41:13";883228301;41.8860699;41.42646;-19218;0;12
Облако-земля;"2022-12-02 21:42:41";357777139;41.86662;41.39171;-9256;0;11
Облако-облако;"2022-12-02 21:42:41";549929169;41.97214;41.5322699;8305;5179;14
Облако-земля;"2022-12-02 21:44:10";303010874;41.85575;41.42091;-30899;0;13
Облако-земля;"2022-12-02 21:45:15";184719532;41.90106;41.40377;-19892;0;9
Облако-земля;"2022-12-02 21:46:16";855342198;41.88534;41.44102;-31591;0;11
Облако-облако;"2022-12-02 21:47:20";111556501;41.97338;41.59048;22530;17035;11
