Тип;Время;Наносекунды;Широта;Долгота;Пик;Высота;Количество сенсоров
Облако-земля;2023-12-13 22:50:54;214227852;42.30364;41.80836;-26159;0;16
Облако-облако;2023-12-13 22:50:54;52057839;42.3686999;42.07403;-7231;3668;11
Облако-земля;2023-12-13 22:52:43;393018640;42.29173;41.77197;-21864;0;17
Облако-земля;2023-12-13 22:53:22;44728128;42.2829;41.77896;-11446;0;9
Облако-земля;2023-12-13 22:54:00;940234077;42.28656;41.80183;-13678;0;9
Облако-земля;2023-12-13 22:54:55;898326021;42.2864099;41.77881;-19093;0;13
Облако-облако;2023-12-13 23:04:56;110083865;42.24877;41.76686;10039;12616;15
Облако-земля;2023-12-13 23:52:47;164010880;42.18626;41.72562;-8524;0;16
Облако-облако;2023-12-13 23:52:47;155891576;42.2599;41.84344;-14122;19456;10
Облако-облако;2023-12-13 23:52:47;146972756;42.20202;42.21938;-5280;16863;17
